timestamp,campus_id,consumption
2025-01-01 00:00:00,1,7.86
2025-01-01 01:00:00,1,19.67
2025-01-01 02:00:00,1,13.14
2025-01-01 03:00:00,1,14.77
2025-01-01 04:00:00,1,16.47
2025-01-01 05:00:00,1,13.16
2025-01-01 06:00:00,1,18.01
2025-01-01 07:00:00,1,9.96
2025-01-01 08:00:00,1,6.61
2025-01-01 09:00:00,1,18.33
2025-01-01 10:00:00,1,13.36
2025-01-01 11:00:00,1,10.08
2025-01-01 12:00:00,1,7.67
2025-01-01 13:00:00,1,18.18
2025-01-01 14:00:00,1,7.06
2025-01-01 15:00:00,1,17.34
2025-01-01 16:00:00,1,8.07
2025-01-01 17:00:00,1,11.07
2025-01-01 18:00:00,1,13.97
2025-01-01 19:00:00,1,8.05
2025-01-01 20:00:00,1,9.43
2025-01-01 21:00:00,1,15.17
2025-01-01 22:00:00,1,12.75
2025-01-01 23:00:00,1,9.72
2025-01-02 00:00:00,1,15.62
2025-01-02 01:00:00,1,16.77
2025-01-02 02:00:00,1,19.4
2025-01-02 03:00:00,1,7.55
2025-01-02 04:00:00,1,7.61
2025-01-02 05:00:00,1,10.28
2025-01-02 06:00:00,1,18.57
2025-01-02 07:00:00,1,17.71
2025-01-02 08:00:00,1,7.92
2025-01-02 09:00:00,1,18.99
2025-01-02 10:00:00,1,16.68
2025-01-02 11:00:00,1,14.6
2025-01-02 12:00:00,1,15.62
2025-01-02 13:00:00,1,14.43
2025-01-02 14:00:00,1,19.11
2025-01-02 15:00:00,1,6.19
2025-01-02 16:00:00,1,11.69
2025-01-02 17:00:00,1,12.3
2025-01-02 18:00:00,1,18.08
2025-01-02 19:00:00,1,13.84
2025-01-02 20:00:00,1,10.53
2025-01-02 21:00:00,1,5.87
2025-01-02 22:00:00,1,18.62
2025-01-02 23:00:00,1,19.37
2025-01-03 00:00:00,1,5.63
2025-01-03 01:00:00,1,9.36
2025-01-03 02:00:00,1,7.96
2025-01-03 03:00:00,1,5.18
2025-01-03 04:00:00,1,5.33
2025-01-03 05:00:00,1,5.59
2025-01-03 06:00:00,1,16.48
2025-01-03 07:00:00,1,19.57
2025-01-03 08:00:00,1,9.6
2025-01-03 09:00:00,1,7.25
2025-01-03 10:00:00,1,13.74
2025-01-03 11:00:00,1,7.52
2025-01-03 12:00:00,1,9.1
2025-01-03 13:00:00,1,7.59
2025-01-03 14:00:00,1,18.41
2025-01-03 15:00:00,1,16.24
2025-01-03 16:00:00,1,13.36
2025-01-03 17:00:00,1,6.65
2025-01-03 18:00:00,1,15.15
2025-01-03 19:00:00,1,9.42
2025-01-03 20:00:00,1,7.64
2025-01-03 21:00:00,1,14.34
2025-01-03 22:00:00,1,6.71
2025-01-03 23:00:00,1,11.8
2025-01-04 00:00:00,1,17.09
2025-01-04 01:00:00,1,8.8
2025-01-04 02:00:00,1,13.53
2025-01-04 03:00:00,1,5.78
2025-01-04 04:00:00,1,15.19
