timestamp,building_id,id,campus_id,consumption,voltage,current,power,power_factor
2025-01-01 00:00:00,1,1,1,7.0319,240.1,29.29,6.3287,0.91
2025-01-01 01:00:00,1,1,1,7.6628,242.0,31.66,6.8965,0.91
2025-01-01 02:00:00,1,1,1,2.6747,239.8,11.15,2.4072,0.99
2025-01-01 03:00:00,1,1,1,4.2109,242.4,17.37,3.7898,0.85
2025-01-01 04:00:00,1,1,1,8.7858,241.4,36.4,7.9072,0.91
2025-01-01 05:00:00,1,1,1,8.7484,241.6,36.21,7.8736,0.93
2025-01-01 06:00:00,1,1,1,9.888,241.0,41.03,8.8992,0.87
2025-01-01 07:00:00,1,1,1,2.3105,238.2,9.7,2.0795,0.96
2025-01-01 08:00:00,1,1,1,2.6692,242.0,11.03,2.4023,0.98
2025-01-01 09:00:00,1,1,1,3.979,241.3,16.49,3.5811,0.9
2025-01-01 10:00:00,1,1,1,8.7327,240.8,36.27,7.8594,0.96
2025-01-01 11:00:00,1,1,1,1.5933,239.0,6.67,1.434,0.99
2025-01-01 12:00:00,1,1,1,4.4134,241.4,18.28,3.9721,0.87
2025-01-01 13:00:00,1,1,1,1.8923,240.4,7.87,1.7031,0.85
2025-01-01 14:00:00,1,1,1,7.6961,242.7,31.71,6.9265,0.93
2025-01-01 15:00:00,1,1,1,1.5257,243.0,6.28,1.3731,0.87
2025-01-01 16:00:00,1,1,1,4.5121,242.9,18.58,4.0609,0.87
2025-01-01 17:00:00,1,1,1,5.8664,243.7,24.07,5.2797,0.95
2025-01-01 18:00:00,1,1,1,6.8865,242.0,28.46,6.1978,0.96
2025-01-01 19:00:00,1,1,1,3.7875,239.8,15.79,3.4088,0.86
2025-01-01 20:00:00,1,1,1,3.6841,239.4,15.39,3.3157,0.92
2025-01-01 21:00:00,1,1,1,7.326,237.5,30.85,6.5934,0.93
2025-01-01 22:00:00,1,1,1,5.3973,240.1,22.48,4.8576,0.92
2025-01-01 23:00:00,1,1,1,6.1014,237.2,25.72,5.4913,0.85
2025-01-02 00:00:00,1,1,1,1.1158,239.2,4.66,1.0042,0.89
2025-01-02 01:00:00,1,1,1,1.905,241.0,7.9,1.7145,0.99
2025-01-02 02:00:00,1,1,1,6.6582,243.0,27.4,5.9924,0.93
2025-01-02 03:00:00,1,1,1,1.0748,242.0,4.44,0.9673,0.9
2025-01-02 04:00:00,1,1,1,4.1652,239.2,17.41,3.7487,0.89
2025-01-02 05:00:00,1,1,1,4.0703,239.3,17.01,3.6633,0.98
2025-01-02 06:00:00,1,1,1,1.8915,241.7,7.83,1.7024,0.88
2025-01-02 07:00:00,1,1,1,2.772,239.4,11.58,2.4948,0.98
2025-01-02 08:00:00,1,1,1,1.1508,237.5,4.85,1.0357,0.92
2025-01-02 09:00:00,1,1,1,8.5847,242.4,35.42,7.7262,0.92
2025-01-02 10:00:00,1,1,1,7.2273,237.9,30.38,6.5046,0.89
2025-01-02 11:00:00,1,1,1,8.0212,241.7,33.19,7.2191,0.95
2025-01-02 12:00:00,1,1,1,4.2157,241.2,17.48,3.7941,0.92
2025-01-02 13:00:00,1,1,1,3.5172,239.0,14.72,3.1654,0.97
2025-01-02 14:00:00,1,1,1,3.9724,244.5,16.25,3.5751,0.88
2025-01-02 15:00:00,1,1,1,3.9226,239.4,16.38,3.5303,0.93
2025-01-02 16:00:00,1,1,1,6.6277,240.4,27.57,5.965,0.88
2025-01-02 17:00:00,1,1,1,9.7926,242.5,40.38,8.8133,0.89
2025-01-02 18:00:00,1,1,1,5.1136,241.4,21.18,4.6022,0.96
2025-01-02 19:00:00,1,1,1,4.1639,240.1,17.34,3.7475,0.95
2025-01-02 20:00:00,1,1,1,4.3071,240.3,17.92,3.8764,0.94
2025-01-02 21:00:00,1,1,1,2.8307,243.2,11.64,2.5477,0.9
2025-01-02 22:00:00,1,1,1,8.9043,241.3,36.9,8.0139,0.96
2025-01-02 23:00:00,1,1,1,3.6938,239.5,15.42,3.3244,0.99
2025-01-03 00:00:00,1,1,1,9.9327,242.2,41.01,8.9395,0.97
2025-01-03 01:00:00,1,1,1,3.6665,240.2,15.26,3.2999,0.98
2025-01-03 02:00:00,1,1,1,2.8556,237.1,12.04,2.5701,0.88
2025-01-03 03:00:00,1,1,1,4.7857,237.5,20.15,4.3071,0.9
2025-01-03 04:00:00,1,1,1,9.943,239.1,41.59,8.9487,0.99
2025-01-03 05:00:00,1,1,1,4.2146,241.5,17.45,3.7932,0.85
2025-01-03 06:00:00,1,1,1,7.4602,239.5,31.15,6.7141,0.88
2025-01-03 07:00:00,1,1,1,2.338,238.6,9.8,2.1042,0.97
2025-01-03 08:00:00,1,1,1,2.6668,240.3,11.1,2.4001,0.89
2025-01-03 09:00:00,1,1,1,3.8629,242.4,15.94,3.4766,0.99
2025-01-03 10:00:00,1,1,1,8.4127,239.9,35.07,7.5715,0.9
2025-01-03 11:00:00,1,1,1,4.992,237.6,21.01,4.4928,0.98
2025-01-03 12:00:00,1,1,1,9.048,241.3,37.5,8.1432,0.91
2025-01-03 13:00:00,1,1,1,6.2581,239.4,26.14,5.6323,0.98
2025-01-03 14:00:00,1,1,1,7.7924,241.8,32.23,7.0132,0.88
2025-01-03 15:00:00,1,1,1,1.0216,240.8,4.24,0.9194,0.91
2025-01-03 16:00:00,1,1,1,6.9003,241.3,28.6,6.2103,0.91
2025-01-03 17:00:00,1,1,1,9.3377,238.6,39.14,8.404,0.96
2025-01-03 18:00:00,1,1,1,4.0886,242.2,16.88,3.6798,0.96
2025-01-03 19:00:00,1,1,1,5.4251,240.0,22.6,4.8826,0.97
2025-01-03 20:00:00,1,1,1,5.7939,240.9,24.05,5.2145,0.97
2025-01-03 21:00:00,1,1,1,5.2628,242.6,21.69,4.7366,0.98
2025-01-03 22:00:00,1,1,1,1.9725,242.0,8.15,1.7753,0.9
2025-01-03 23:00:00,1,1,1,1.7036,240.9,7.07,1.5333,0.89
2025-01-04 00:00:00,1,1,1,3.2259,242.7,13.29,2.9033,0.94
2025-01-04 01:00:00,1,1,1,4.2732,239.0,17.88,3.8459,0.91
2025-01-04 02:00:00,1,1,1,4.3611,240.9,18.1,3.925,0.94
2025-01-04 03:00:00,1,1,1,2.5861,237.7,10.88,2.3275,0.91
2025-01-04 04:00:00,1,1,1,8.2865,240.8,34.41,7.4578,0.88
2025-01-04 05:00:00,1,1,1,1.0298,243.8,4.22,0.9268,0.95
2025-01-04 06:00:00,1,1,1,4.7031,238.7,19.7,4.2327,0.93
2025-01-04 07:00:00,1,1,1,2.1451,242.9,8.83,1.9306,0.96
